"Artikel","Fabrikantscode","Merk","Omschrijving","Prijs","Prijs_incl_heffingen","Voorraad","produktindeling","UNSPSC_code","EAN_code","status","Verwijderingsbijdrage","Thuiskopie","Stibat"
"ACR-DG.BQBEH.003","DG.BQBEH.003","Acer","Nitro N20 I51360/i5/16/1TB/RTX5060","939.00","941.80","76","ACRNOTCSUGMG","43211503","4711474490551","00","0.00","2.80","0.00"
"ACR-DG.BQBEH.005","DG.BQBEH.005","Acer","Nitro N20 I51350/i5/16/1TB/RTX3050","782.00","784.80","37","ACRNOTCSUGMG","43211503","4711474517388","00","0.00","2.80","0.00"
"ACR-DP.Z4FWW.P01","DP.Z4FWW.P01","Acer","Predator BiFrost Radeon RX 9070 XT OC 16GB Graphics Card - 16GB GDDR6 - HDMI/3xDP - 2.5 slot - 3x FAN","767.77","767.77","78","ACRINDIDGGMG","43211700","4711474226648","00","0.00","0.00","0.00"
"ACR-DP.Z4GWW.P01","DP.Z4GWW.P01","Acer","Predator BiFrost Radeon RX 9070 OC 16GBGraphics Card - 16GB GDDR6 - HDMI/3xDP - 2.5 slot - 3x FAN","693.38","693.38","17","ACRINDIDGGMG","43211700","4711474226631","00","0.00","0.00","0.00"
"ACR-DQ.BNCEH.001","DQ.BNCEH.001","Acer","C24-AWI5416/QW/23 8i/i7/16GB/1TB/W11H","671.00","673.80","17","ACRP-CCSM---","43211507","4711474373779","00","0.00","2.80","0.00"
"ACR-DQ.BNREH.002","DQ.BNREH.002","Acer","C27-1WI7616/QW/27i/i7/16GB/1TB/W11H QWERTY","870.00","872.80","46","ACRP-CCSM---","43211507","4711474376084","00","0.00","2.80","0.00"
"ACR-DQ.BRDEH.001","DQ.BRDEH.001","Acer","Aspire C24-A WI5416 NL - 60 5cm 23.8i -Intel Core i5-13420H - 16GB DDR4 - 1TB SSD - Intel UHD Graphics - Windows 11 Home - Wireless-KB US Int - Mouse QWERTY","671.00","673.80","25","ACRNOTWSO15I","43211503","4711474621276","00","0.00","2.80","0.00"
"ACR-DQ.R23EH.003","DQ.R23EH.003","Acer","Z4727GT/noKB/27i/i5/16/512/W11P","879.00","879.00","27","ACRP-CCSM---","43211507","4711474202543","00","0.00","0.00","0.00"
"ACR-DQ.R23EH.004","DQ.R23EH.004","Acer","Z4727GT/noKB/27i/i7/16/512/W11P","1039.00","1039.00","12","ACRP-CCSM---","43211507","4711474202550","00","0.00","0.00","0.00"
"ACR-DQ.R2QEH.001","DQ.R2QEH.001","Acer","Z2724G/noKB/23.8i/i5/16/512/W11P","679.00","679.00","30","ACRP-CCSM---","43211507","4711474202567","00","0.00","0.00","0.00"
"ACR-DQ.R2QEH.002","DQ.R2QEH.002","Acer","Z2724G/noKB/23.8i/i7/16/512/W11P","1019.00","1019.00","0","ACRP-CCSM---","43211507","4711474202574","00","0.00","0.00","0.00"
"ACR-DT.BLNEH.003","DT.BLNEH.003","Acer","Aspire TC-1785 I7524-I7/16GB-DDR5/512GB","782.00","784.80","56","ACRP-CCSM---","43211507","4711474073280","00","0.00","2.80","0.00"
